class,direction,rank,gene,coefficient
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,18,ENSG00000135426,0.06364345
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,19,ENSG00000102760,0.063117795
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,20,ENSG00000170004,0.041862085
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,1,ENSG00000213809,-1.3617847
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,2,ENSG00000153563,-1.243035
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,3,ENSG00000161405,-0.22196823
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,4,ENSG00000166501,-0.10927602
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,5,ENSG00000135916,-0.0895502
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,6,ENSG00000019582,-0.08656281
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,7,ENSG00000179583,-0.059423376
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,8,ENSG00000120899,-0.02077191
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,9,ENSG00000105369,-0.017295433
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,10,ENSG00000083223,-0.0072501767
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,11,ENSG00000028137,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,12,ENSG00000184216,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,13,ENSG00000169057,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,14,ENSG00000196924,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,15,ENSG00000102119,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,16,ENSG00000102125,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,17,ENSG00000071553,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,18,ENSG00000203879,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,19,ENSG00000160211,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,20,ENSG00000269335,0.0
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,1,ENSG00000153563,1.2705367
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,2,ENSG00000213809,0.6253444
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,3,ENSG00000275395,0.445338
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,4,ENSG00000184613,0.369876
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,5,ENSG00000172673,0.35983062
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,6,ENSG00000072110,0.32028693
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,7,ENSG00000064201,0.23068829
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,8,ENSG00000138795,0.18636659
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,9,ENSG00000152270,0.1547375
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,10,ENSG00000204472,0.1307297
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,11,ENSG00000172766,0.10759868
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,12,ENSG00000198712,0.09670908
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,13,ENSG00000070081,0.08600214
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,14,ENSG00000141232,0.07030917
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,15,ENSG00000156860,0.050019756
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,16,ENSG00000111371,0.034888104
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,17,ENSG00000142102,0.025597887
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,18,ENSG00000103064,0.02049017
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,19,ENSG00000099204,0.010299098
"naive thymus-derived CD8-positive, alpha-beta T cell",positive,20,ENSG00000090554,0.00070162775
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,1,ENSG00000271503,-0.58242923
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,2,ENSG00000163564,-0.44480175
"naive thymus-derived CD8-positive, alpha-beta T cell",negative,3,ENSG00000169508,-0.32499546
