class,direction,rank,gene_id,gene_symbol,coefficient
naive B cell,negative,9,ENSG00000102119,EMD,0.0
naive B cell,negative,10,ENSG00000102125,TAZ,0.0
naive B cell,negative,11,ENSG00000071553,ATP6AP1,0.0
naive B cell,negative,12,ENSG00000203879,GDI1,0.0
naive B cell,negative,13,ENSG00000160211,G6PD,0.0
naive B cell,negative,14,ENSG00000269335,IKBKG,0.0
naive B cell,negative,15,ENSG00000160219,GAB3,0.0
naive B cell,negative,16,ENSG00000183878,UTY,0.0
naive B cell,negative,17,ENSG00000012817,KDM5D,0.0
naive B cell,negative,18,ENSG00000198888,MT-ND1,0.0
naive B cell,negative,19,ENSG00000198763,MT-ND2,0.0
naive B cell,negative,20,ENSG00000065526,SPEN,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,1,ENSG00000010610,CD4,0.7392518
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,2,ENSG00000163519,TRAT1,0.40970182
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,3,ENSG00000168685,IL7R,0.21423034
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,4,ENSG00000182568,SATB1,0.18486588
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,5,ENSG00000138795,LEF1,0.1798871
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,6,ENSG00000082074,FYB1,0.14781204
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,7,ENSG00000172005,MAL,0.13606001
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,8,ENSG00000186854,TRABD2A,0.12911879
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,9,ENSG00000149212,SESN3,0.12543821
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,10,ENSG00000081059,TCF7,0.0815873
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,11,ENSG00000196329,GIMAP5,0.07736714
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,12,ENSG00000065357,DGKA,0.066658095
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,13,ENSG00000168056,LTBP3,0.053264048
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,14,ENSG00000178562,CD28,0.05281225
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,15,ENSG00000091409,ITGA6,0.049042348
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,16,ENSG00000185811,IKZF1,0.03871741
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,17,ENSG00000135426,TESPA1,0.034050487
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,18,ENSG00000127311,HELB,0.01584315
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,19,ENSG00000102760,RGCC,0.0083412295
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,20,ENSG00000110448,CD5,0.0018344973
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,1,ENSG00000213809,KLRK1,-1.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,2,ENSG00000153563,CD8A,-0.7178116
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,3,ENSG00000161405,IKZF3,-0.13893479
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,4,ENSG00000019582,CD74,-0.09469536
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,5,ENSG00000179583,CIITA,-0.009515894
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,6,ENSG00000172534,HCFC1,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,7,ENSG00000184216,IRAK1,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,8,ENSG00000169057,MECP2,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",negative,9,ENSG00000196924,FLNA,0.0
